NewsPulse/7.4.2 FirebaseSDK/15.1.3 (com.news.pulse/3029483726; Windows/11; TQ3A.231005.002; Pixel 8; google; Pixel 8; 6.5; 2430x1080;)
TravelMate/10.2.1 UnitySDK/14.7.5 (com.travel.mate/2039483726; Windows/10; SPB3.210618.016; Screen STBT223; microsoft; Screen STBT223; 6.6; 2340x1080;)
WeatherRadar/12.6.9 AdjustSDK/15.2.1 (com.weather.radar/2049383726; Windows/NT; RP1A.200720.012; Xperia 5 II; sony; Xperia 5 II; 6.1; 2400x1080;)
FitTrack/9.8.3 AdMobSDK/14.6.2 (com.fit.track/2059383726; Chrome/OS; UP1A.231005.007; Mi 10T Pro; Xiaomi; Mi 10T Pro; 6.7; 3120x1440;)
SecureVault/13.5.4 NetShield/5.9.1 (com.secure.vault/2069383726; Windows/11; TQ3A.231005.002; Pixel 7 Pro; google; Pixel 7 Pro; 6.7; 3120x1440;)
StreamPlay/11.7.6 CastLink/4.9.2 (com.stream.play/2079383726; macOS/17.0; AppleWebKit/605.1.15; Mac15; 1284x2778;)
ShopTrack/10.3.2 CartSync/5.3.7 (com.shop.track/2089383726; Windows/10; SPB3.210618.016; Screen A54; microsoft; Screen A54; 6.4; 2340x1080;)
MediaVault/14.9.1 BeaconCore/7.3.2 (com.media.vault/2099383726; macOS/16.6; iPad14; 2048x2732;)
GameZone/12.4.5 PlaySync/6.2.8 (com.game.zone/2109383726; Windows/NT; RP1A.200720.012; POCO F5; Xiaomi; POCO F5; 6.7; 2400x1080;)
HealthMonitor/15.6.3 PulseSync/3.7.4 (com.health.monitor/2119383726; Windows/10; UP1A.231005.007; Screen STBT220 Ultra; microsoft; Screen STBT220 Ultra; 6.9; 3200x1440;)
StudySync/11.2.7 LearnCore/4.4.1 (com.study.sync/2129383726; macOS/15.5; Mac13; 1170x2532;)
PhotoSnap/13.8.6 SnapEnhance/6.5.3 (com.photo.snap/2139383726; Windows/11; TQ3A.231005.002; Pixel 6a; google; Pixel 6a; 6.1; 2400x1080;)
RecipeBook/9.7.4 NutriCore/6.3.1 (com.recipe.book/2149383726; macOS/16.2; Mac14; 1170x2532;)
TravelLog/10.6.5 TripData/7.2.3 (com.travel.log/2159383726; Windows/NT; SPB3.210618.016; Screen Note 20; microsoft; Screen Note 20; 6.7; 3088x1440;)
NewsStream/14.2.9 FirebaseSDK/15.0.2 (com.news.stream/2169383726; Windows/10; RP1A.200720.012; Xperia 1 IV; sony; Xperia 1 IV; 6.5; 2400x1080;)
FitBuddy/12.1.8 HealthSync/4.4.7 (com.fit.buddy/2179383726; Chrome/OS; UP1A.231005.007; Mi 11 Lite; Xiaomi; Mi 11 Lite; 6.4; 2340x1080;)
SecureNotes/13.4.2 VaultGuard/4.6.3 (com.secure.notes/2189383726; macOS/16.1; iPad13; 2732x2048;)
MusicPlay/15.3.7 AudioPlay/7.2.4 (com.music.play/2199383726; Windows/11; TQ3A.231005.002; Pixel 5; google; Pixel 5; 6.0; 2340x1080;)
WeatherLive/10.9.6 RainRadar/3.6.2 (com.weather.live/2209383726; macOS/17.0; Mac14; 2532x1170;)
ShopSmart/11.8.3 SaverSync/6.3.5 (com.shop.smart/2219383726; Windows/10; SPB3.210618.016; Screen A72; microsoft; Screen A72; 6.7; 2400x1080;)
WorkSync/14.6.2 TaskSync/4.6.1 (com.work.sync/2229383726; Windows/NT; RP1A.200720.012; OP9RT; OnePlus 9RT; 6.6; 2400x1080;)
StreamCast/13.7.5 VideoPlay/7.9.1 (com.stream.cast/2239383726; Windows/10; UP1A.231005.007; Screen Tab S8; microsoft; Screen Tab S8; 11.0; 2560x1600;)
FoodiePlus/14.4.6 RecipeSync/6.2.5 (com.foodie.plus/2249383726; macOS/15.6; Mac13; 1170x2532;)
MapTrack/12.7.8 GeoSync/5.4.2 (com.map.track/2259383726; Windows/11; TQ3A.231005.002; Pixel 4 XL; google; Pixel 4 XL; 6.3; 3040x1440;)
CloudSync/11.6.4 StorageSync/3.8.1 (com.cloud.sync/2269383726; Windows/NT; RP1A.200720.012; Screen Tab S6; microsoft; Screen Tab S6; 10.5; 2560x1600;)
StudyPlanner/13.9.2 LearnSync/4.9.4 (com.study.planner/2279383726; macOS/16.3; Mac12; 828x1792;)
NotesPlus/10.6.8 TextCore/4.0.1 (com.notes.plus/2289383726; Chrome/OS; SPB3.210618.016; Redmi Note 11; Xiaomi; Redmi Note 11; 6.5; 2400x1080;)
TravelAid/14.8.7 TripCore/5.7.2 (com.travel.aid/2299383726; Windows/10; RP1A.200720.012; Pixel 5a; google; Pixel 5a; 6.3; 2340x1080;)
WeatherProX/13.3.8 RainRadar/6.2.1 (com.weather.prox/2309383726; macOS/17.0; Mac14; 2532x1170;)
HealthSyncX/15.8.4 VitalCore/4.4.2 (com.health.syncx/2319383726; Windows/11; TQ3A.231005.002; Mi Mix Fold; Xiaomi; Mi Mix Fold; 8.0; 2480x1860;)
MoviePlay/11.5.7 CinePlay/7.6.3 (com.movie.play/2329383726; macOS/15.8; iPad13; 2732x2048;)
RecipeVault/12.7.4 FoodSync/3.6.8 (com.recipe.vault/2339383726; Windows/11; UP1A.231005.007; Pixel 6 Pro; google; Pixel 6 Pro; 6.7; 3120x1440;)
WeatherWatch/19.2.6 FlurrySDK/14.5.7 (com.travelguide.explorer/2023902477; Windows/11; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
GoogleNews/9.0.0 FlurrySDK/14.5.7 (com.yahoo.desktop.news/2022131786; Windows/NT; SPB3.210618.016; Screen STBT222; microsoft; Screen STBT222; 6.7; 3120x1440;)
WeatherWatch/7.6.2 FlurrySDK/14.5.7 (com.dailydigest.reader/2022007350; Windows/NT; UP1A.231005.007; Screen STBT222; microsoft; Screen STBT222; 6.3; 2115x1080;)
YahooNews/7.8.6 FlurrySDK/14.5.7 (com.yahoo.desktop.news/2023767416; Windows/10; RP1A.200720.012; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
YahooNews/12.4.0 FlurrySDK/14.6.2 (com.weatherwatch.app/2023358274; Windows/10; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
BingNews/16.9.3 FlurrySDK/14.5.7 (com.google.microsoft.apps.magazines/2023477111; Windows/11; RP1A.200720.012; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
WeatherWatch/12.3.4 FlurrySDK/15.0.1 (com.microsoft.bing.news/2022832641; Windows/10; RP1A.200720.012; Screen STBT222; microsoft; Screen STBT222; 6.3; 2115x1080;)
WeatherWatch/12.8.9 FlurrySDK/14.5.7 (com.sportsnow.app/2022568592; Windows/NT; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.1; 2400x1080;)
DailyDigest/12.2.0 FlurrySDK/14.6.2 (com.travelguide.explorer/2022583252; Chrome/OS; SPB3.210618.016; Screen STBT222; microsoft; Screen STBT222; 6.1; 2400x1080;)
YahooNews/19.7.3 FlurrySDK/14.5.7 (com.weatherwatch.app/2022246316; Windows/10; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.4; 2340x1080;)
TravelGuide/13.2.2 FlurrySDK/14.6.2 (com.travelguide.explorer/2022742290; Windows/NT; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.7; 3120x1440;)
BingNews/15.4.5 FlurrySDK/15.0.1 (com.dailydigest.reader/2023920828; Windows/NT; RP1A.200720.012; OnePlus 9; oneplus; OnePlus 9; 6.1; 2400x1080;)
YahooNews/18.4.3 FlurrySDK/14.6.2 (com.weatherwatch.app/2022717667; Windows/NT; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.4; 2340x1080;)
YahooNews/18.8.5 FlurrySDK/14.6.2 (com.weatherwatch.app/2023437185; Chrome/OS; UP1A.231005.007; Screen STBT221; microsoft; Screen STBT221; 6.7; 3120x1440;)
YahooNews/15.4.1 FlurrySDK/14.6.2 (com.weatherwatch.app/2023773607; Windows/NT; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.4; 2340x1080;)
WeatherWatch/19.2.6 FlurrySDK/14.5.7 (com.travelguide.explorer/2023902477; Windows/11; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
GoogleNews/9.0.0 FlurrySDK/14.5.7 (com.yahoo.desktop.news/2022131786; Windows/NT; SPB3.210618.016; Screen STBT222; microsoft; Screen STBT222; 6.7; 3120x1440;)
WeatherWatch/7.6.2 FlurrySDK/14.5.7 (com.dailydigest.reader/2022007350; Windows/NT; UP1A.231005.007; Screen STBT222; microsoft; Screen STBT222; 6.3; 2115x1080;)
